Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Sundaram Multi Cap Fund Series II - Direct Plan - GrowthMulti Cap Fund,-,70.03,1.96%,2.12%,0.90%,22.87%,9.18%,60.07%,21.60%,-,-,-,5.29%,-1.21%,-3.67%,7.13%,-0.94%,8.89%,15.88%,-2.31%,-6.11%,10.27%,0.32%,7.86%,0.88%,8.33%,20.06%,8.88%,21.56%,-26.41%,7.20%,-4.68%,-0.89%,3.15%,0.43%,-1.13%,7.11%,0.04%,3.92%,-3.14%,1.91%,-,-,-,-,-,-,-,17/27,8/27,15/27,11/27,16/27,14/27,10/25,10/18,4/8,0/0,,,,,,,-,96.55%,25.0,-,-,-,3.45%,-,13.3565,0.93%,10-May-21,13.3883,04-Mar-21,8.1678,18-May-20,28.52%,31.30%,32.18%,41.78%,-
Baroda Multi Cap Fund - Plan A - GrowthMulti Cap Fund,4,980.13,1.96%,2.05%,5.24%,26.35%,12.81%,66.71%,19.52%,10.76%,13.17%,10.33%,5.30%,-1.15%,-3.62%,7.19%,-0.89%,8.96%,15.94%,-2.26%,-6.06%,10.34%,0.38%,7.92%,0.96%,8.52%,20.30%,9.10%,21.80%,-26.27%,7.44%,-4.92%,-0.65%,3.37%,0.69%,-0.87%,8.06%,0.41%,4.38%,-1.36%,2.75%,-,-,-,-,-,-,-,23/28,22/28,21/28,20/28,20/28,15/28,18/26,13/19,4/9,3/8,,,,,,,-,96.55%,25.0,-,-,-,3.45%,-,14.87,0.81%,10-May-21,14.91,15-Feb-21,8.99,18-May-20,27.83%,29.99%,30.24%,38.09%,106.71%
Sundaram Multi Cap Fund Series I - GrowthMulti Cap Fund,-,118.8,1.95%,2.08%,0.77%,22.49%,8.97%,59.23%,20.94%,-,-,-,3.33%,-1.05%,3.61%,3.84%,-3.75%,4.96%,13.81%,-0.82%,-3.56%,8.36%,4.37%,5.04%,2.93%,9.65%,19.83%,4.74%,20.71%,-31.03%,6.62%,1.36%,-,-,-,-,10.41%,14.60%,4.08%,-8.36%,48.73%,5.70%,2.49%,48.93%,7.23%,46.01%,-30.91%,14.12%,22/27,22/27,20/27,18/27,19/27,15/27,16/25,12/18,3/8,0/0,,,,,,,-,95.27%,37.0,1.20%,1,-,3.53%,-,16.233,0.65%,10-May-21,16.233,10-May-21,8.193,18-May-20,27.81%,34.40%,35.17%,41.61%,134.04%
Sundaram Multi Cap Fund Series II - GrowthMulti Cap Fund,-,70.03,1.95%,2.07%,0.76%,22.53%,8.97%,59.18%,20.92%,-,-,-,3.35%,-0.98%,3.68%,3.89%,-3.70%,4.98%,13.83%,-0.81%,-3.54%,8.38%,4.39%,5.07%,3.17%,10.23%,20.47%,5.30%,21.39%,-30.66%,7.19%,1.90%,-,-,-,-,10.68%,15.52%,5.17%,-7.42%,49.83%,6.43%,3.19%,49.77%,7.04%,-,-,-,19/27,15/27,22/27,22/27,20/27,16/27,6/25,0/0,0/0,0/0,,,,,,,-,95.27%,37.0,1.20%,1,-,3.53%,-,15.658,0.65%,10-May-21,15.658,10-May-21,8.025,18-May-20,27.24%,32.27%,36.18%,45.81%,-
Nippon India Multicap Fund - Direct Plan - GrowthMulti Cap Fund,1,8970.58,1.91%,1.17%,5.71%,32.66%,17.86%,77.38%,10.67%,7.89%,12.17%,-,2.03%,0.33%,-0.98%,4.95%,-0.64%,5.99%,12.10%,0.04%,0.89%,4.76%,3.92%,3.30%,2.53%,9.32%,22.22%,16.52%,26.64%,-19.98%,4.03%,-1.42%,-1.69%,5.03%,1.28%,-5.38%,14.57%,1.57%,13.15%,-,-,-,-,-,-,-,-,-,18/28,8/28,16/28,12/28,18/28,16/28,11/26,12/19,5/9,2/8,,,,,,,-,95.00%,50.0,-,-,-,5.00%,-,13.9788,0.68%,10-May-21,14.1098,03-Mar-21,8.056,18-May-20,27.06%,-,-,-,-
Nippon India Multicap Fund - GrowthMulti Cap Fund,1,8970.58,1.90%,1.12%,5.54%,32.24%,17.59%,76.21%,9.94%,7.16%,11.36%,12.45%,2.05%,0.44%,-0.89%,5.04%,-0.52%,6.11%,12.23%,0.15%,1.00%,4.87%,4.04%,3.42%,2.63%,10.24%,22.51%,16.80%,26.94%,-19.80%,4.27%,-2.10%,-1.47%,5.33%,1.58%,-5.16%,15.44%,3.79%,14.64%,-,-,-,-,-,-,-,-,-,18/27,12/27,7/27,14/27,13/27,17/27,15/25,8/18,5/8,0/0,,,,,,,-,95.00%,50.0,-,-,-,5.00%,-,13.536,0.67%,10-May-21,13.6999,03-Mar-21,7.9403,18-May-20,26.83%,-,-,-,-
Kotak India Growth Fund - Series IV - Direct Plan - GrowthMulti Cap Fund,-,71.56,1.83%,2.31%,3.19%,34.26%,15.19%,91.90%,32.22%,16.85%,-,-,4.38%,0.32%,-0.44%,5.02%,-1.31%,4.67%,13.46%,-2.68%,-2.23%,4.84%,3.18%,3.27%,-0.06%,10.50%,18.77%,20.70%,29.65%,-31.97%,10.44%,-1.01%,-2.19%,3.69%,-0.32%,-3.31%,13.27%,43.38%,4.70%,-8.83%,-,-,-,-,-,-,-,-,4/28,3/28,3/28,4/28,4/28,17/28,24/26,19/19,0/0,0/0,,,,,,,-,94.89%,40.0,-,-,-,5.11%,-,9.6585,0.93%,10-May-21,9.6585,10-May-21,5.3881,19-May-20,26.19%,30.32%,33.21%,40.20%,108.12%
Invesco India Multicap Fund - Direct Plan - GrowthMulti Cap Fund,3,1171.1,1.82%,2.59%,3.05%,28.33%,12.33%,63.57%,21.13%,10.23%,15.00%,-,4.35%,0.31%,-0.42%,5.10%,-1.27%,4.78%,13.50%,-2.60%,-2.17%,4.85%,3.24%,3.19%,-0.05%,10.55%,18.82%,20.75%,29.69%,-31.94%,10.57%,-1.01%,-2.18%,3.78%,-0.16%,-3.27%,14.34%,44.72%,5.74%,-8.18%,-,-,-,-,-,-,-,-,4/27,3/27,4/27,4/27,5/27,18/27,23/25,18/18,0/0,0/0,,,,,,,-,94.89%,40.0,-,-,-,5.11%,-,9.3658,0.92%,10-May-21,9.3658,10-May-21,5.2463,19-May-20,26.09%,31.82%,32.66%,42.87%,-
Kotak India Growth Fund - Series IV - GrowthMulti Cap Fund,-,71.56,1.81%,2.23%,2.33%,32.82%,14.11%,88.95%,30.59%,15.50%,-,-,5.97%,2.45%,2.56%,5.25%,-1.05%,4.03%,18.02%,-3.10%,-0.14%,5.26%,1.68%,1.40%,-1.57%,6.57%,12.23%,4.67%,11.68%,-14.67%,4.91%,-1.03%,1.79%,5.08%,-0.18%,-,11.39%,25.26%,11.59%,-6.52%,-,-,-,-,-,-,-,-,20/28,16/28,23/28,23/28,21/28,18/28,6/26,0/0,0/0,0/0,,,,,,,-,94.81%,33.0,-,-,-,5.19%,-,14.5074,0.59%,10-May-21,14.7861,03-Mar-21,8.7115,18-May-20,25.56%,-,-,-,-
Invesco India Multicap Fund - GrowthMulti Cap Fund,3,1171.1,1.80%,2.48%,2.71%,27.47%,11.80%,61.39%,19.54%,8.70%,13.27%,16.48%,6.00%,2.38%,2.59%,5.33%,-1.14%,4.05%,17.96%,-3.02%,-0.28%,5.28%,1.64%,1.52%,-1.46%,6.86%,12.54%,4.96%,11.99%,-14.45%,5.20%,-0.77%,2.06%,5.44%,0.05%,-,11.46%,25.50%,11.85%,-6.30%,-,-,-,-,-,-,-,-,14/28,11/28,24/28,22/28,22/28,19/28,8/26,0/0,0/0,0/0,,,,,,,-,94.81%,33.0,-,-,-,5.19%,-,14.4861,0.58%,10-May-21,14.7674,03-Mar-21,8.7011,18-May-20,25.53%,30.71%,30.95%,39.64%,117.82%
BNP Paribas Multi Cap Fund - Direct Plan - GrowthMulti Cap Fund,2,517.68,1.77%,2.12%,5.68%,26.91%,13.08%,61.08%,19.08%,11.69%,14.61%,-,0.02%,-,-,-,-,-,-,-,-,-,-,-,2.37%,7.56%,19.90%,10.78%,21.51%,-25.37%,5.69%,-0.57%,-1.47%,2.18%,0.56%,-3.74%,5.98%,11.36%,11.03%,-1.59%,-,-,-,-,-,-,-,-,13/27,11/27,23/27,21/27,21/27,19/27,8/25,0/0,0/0,0/0,,,,,,,-,94.76%,39.0,-,-,-,5.24%,-,14.2674,0.58%,10-May-21,14.5568,03-Mar-21,8.6149,18-May-20,24.38%,36.71%,-,-,-
BNP Paribas Multi Cap Fund - GrowthMulti Cap Fund,2,517.68,1.74%,2.00%,5.31%,25.99%,12.50%,58.81%,17.46%,10.10%,12.89%,13.46%,2.09%,-,-,-,-,-,-,-,-,-,-,-,2.50%,7.92%,20.33%,11.13%,21.92%,-25.14%,5.98%,-0.79%,-1.08%,2.55%,0.96%,-3.38%,6.38%,12.57%,12.32%,-1.32%,-,-,-,-,-,-,-,-,15/28,12/28,25/28,21/28,23/28,20/28,9/26,0/0,0/0,0/0,,,,,,,-,94.76%,39.0,-,-,-,5.24%,-,14.2364,0.58%,10-May-21,14.528,03-Mar-21,8.5982,18-May-20,23.91%,32.23%,-,-,-
IDFC Equity Opportunity - Series 6 - Direct Plan - GrowthMulti Cap Fund,-,217.17,1.73%,1.59%,1.53%,22.19%,9.83%,61.25%,24.51%,-,-,-,2.41%,0.12%,0.13%,5.23%,-1.95%,5.58%,10.75%,1.40%,-2.11%,2.95%,3.03%,5.93%,4.60%,11.95%,19.56%,7.21%,23.63%,-25.58%,8.12%,-1.54%,2.07%,4.32%,1.52%,-2.87%,11.27%,18.63%,4.87%,-12.31%,46.15%,0.14%,6.69%,71.67%,10.17%,43.88%,-19.24%,34.69%,14/27,13/27,24/27,20/27,22/27,20/27,9/25,0/0,0/0,0/0,,,,,,,-,94.61%,41.0,-,-,-,5.39%,-,12.039,0.68%,10-May-21,12.261,15-Feb-21,8.189,26-May-20,23.90%,32.18%,-,-,-
HDFC Equity Opportunities Fund - Series II - 1100D June - Direct Plan - GrowthMulti Cap Fund,-,202.42,1.72%,0.92%,-0.33%,19.64%,8.36%,37.23%,6.42%,5.39%,-,-,2.45%,0.23%,0.25%,5.34%,-1.84%,5.71%,10.87%,1.51%,-2.01%,3.07%,3.15%,6.04%,4.79%,12.42%,20.08%,7.69%,24.16%,-25.27%,8.55%,-1.13%,2.49%,4.73%,2.07%,-2.31%,11.81%,20.19%,6.34%,-10.90%,48.66%,1.84%,8.53%,73.98%,10.34%,-,-,-,19/28,14/28,8/28,17/28,14/28,21/28,16/26,10/19,8/9,4/8,,,,,,,-,94.61%,41.0,-,-,-,5.39%,-,12.039,0.68%,10-May-21,12.261,15-Feb-21,8.189,26-May-20,23.84%,35.46%,-,-,-
IDFC Equity Opportunity - Series 6 - GrowthMulti Cap Fund,-,217.17,1.71%,1.57%,1.36%,21.79%,9.58%,60.00%,23.40%,-,-,-,2.24%,0.38%,-0.49%,4.06%,-1.84%,4.35%,10.30%,0.61%,-1.25%,1.21%,3.35%,2.98%,1.61%,9.06%,23.70%,6.27%,23.54%,-31.23%,7.47%,-5.30%,0.93%,4.74%,-0.47%,4.28%,18.89%,16.17%,13.79%,-9.54%,14.58%,-,-,-,-,-,-,-,6/27,17/27,9/27,9/27,7/27,21/27,0/0,0/0,0/0,0/0,,,,,,,-,94.59%,31.0,-,-,-,5.41%,-,14.668,0.56%,10-May-21,15.047,04-Mar-21,7.693,18-May-20,23.61%,29.85%,-,-,-
HDFC Equity Opportunities Fund - Series II - 1100D June - GrowthMulti Cap Fund,-,202.42,1.70%,0.85%,-0.54%,19.23%,8.06%,36.53%,5.98%,4.58%,-,-,2.27%,0.43%,-0.44%,4.10%,-1.80%,4.42%,10.36%,0.65%,-1.20%,1.27%,3.40%,3.03%,1.51%,8.82%,23.41%,6.01%,23.22%,-31.38%,7.21%,-5.53%,0.71%,4.49%,-0.70%,4.03%,19.60%,18.20%,15.69%,-7.41%,16.49%,-,-,-,-,-,-,-,26/28,19/28,17/28,25/28,26/28,22/28,13/26,6/19,0/0,0/0,,,,,,,-,94.59%,31.0,-,-,-,5.41%,-,14.773,0.56%,10-May-21,15.15,04-Mar-21,7.734,18-May-20,23.50%,31.42%,-,-,-
Sundaram Equity Fund - Direct Plan - GrowthMulti Cap Fund,-,666.7,1.45%,0.75%,2.69%,24.80%,12.67%,66.65%,-,-,-,-,-0.64%,0.99%,1.82%,8.27%,-1.19%,5.62%,10.20%,2.36%,1.16%,4.60%,7.58%,4.99%,0.62%,14.09%,21.73%,7.54%,16.29%,-33.84%,6.19%,-6.80%,0.44%,3.99%,7.03%,2.14%,12.20%,9.68%,6.96%,1.67%,29.57%,10.93%,3.62%,50.75%,6.01%,-,-,-,25/27,18/27,17/27,24/27,24/27,22/27,12/25,6/18,0/0,0/0,,,,,,,-,94.30%,56.0,-,-,-,3.97%,1.73%,15.4197,0.52%,10-May-21,15.7079,08-Apr-21,8.8597,18-May-20,23.49%,31.37%,-,-,-
Sundaram Equity Fund - GrowthMulti Cap Fund,-,666.7,1.41%,0.61%,2.33%,23.79%,12.07%,63.65%,-,-,-,-,-0.63%,1.00%,1.82%,8.27%,-1.18%,5.63%,10.22%,2.38%,1.17%,4.62%,7.59%,5.01%,0.69%,14.26%,21.93%,7.72%,16.48%,-33.69%,6.35%,-6.99%,0.58%,4.18%,7.21%,2.31%,11.84%,8.63%,5.79%,0.67%,28.01%,9.72%,2.93%,49.85%,5.39%,36.53%,-27.41%,21.78%,23/27,23/27,19/27,26/27,26/27,23/27,13/25,0/0,0/0,0/0,,,,,,,-,94.30%,56.0,-,-,-,3.97%,1.73%,14.5,0.55%,10-May-21,14.57,10-Mar-21,8.86,18-May-20,23.17%,31.18%,35.94%,-,-
Principal Multi Cap Growth Fund - Direct Plan - GrowthMulti Cap Fund,3,715.53,1.31%,0.75%,1.78%,23.11%,11.05%,63.19%,16.55%,8.76%,15.60%,-,1.47%,0.14%,0.50%,4.26%,-3.41%,4.59%,10.53%,0.26%,1.52%,4.41%,6.39%,4.85%,2.25%,8.21%,19.66%,10.17%,21.26%,-33.76%,9.17%,-6.10%,-0.49%,-0.69%,2.58%,-0.53%,16.52%,0.08%,2.23%,-1.87%,40.87%,-7.24%,0.56%,59.72%,3.76%,47.35%,-21.63%,30.45%,6/28,18/28,11/28,10/28,8/28,23/28,0/0,0/0,0/0,0/0,,,,,,,-,93.15%,36.0,-,-,-,6.85%,-,15.2009,0.52%,10-May-21,15.4871,08-Apr-21,8.7475,18-May-20,23.01%,28.71%,-,-,-
Principal Multi Cap Growth Fund - GrowthMulti Cap Fund,3,715.53,1.30%,0.69%,1.60%,22.67%,10.77%,61.93%,15.59%,7.80%,14.64%,13.91%,1.37%,0.07%,0.44%,4.16%,-3.51%,4.56%,10.47%,0.18%,1.47%,4.33%,6.35%,4.65%,2.34%,8.41%,19.72%,10.22%,21.50%,-33.68%,9.22%,-7.00%,-0.31%,-0.33%,2.95%,-0.16%,16.78%,0.81%,2.98%,-1.14%,41.96%,-6.47%,1.25%,60.96%,3.84%,-,-,-,10/27,24/27,26/27,25/27,25/27,24/27,24/25,15/18,0/0,0/0,,,,,,,-,93.15%,36.0,-,-,-,6.85%,-,11.646,0.67%,10-May-21,11.868,15-Feb-21,7.93,26-May-20,22.56%,30.00%,34.05%,-,-
Axis Capital Builder Fund - Series 4 - Direct Plan - GrowthMulti Cap Fund,-,1208.25,1.16%,0.68%,2.00%,18.40%,7.17%,56.89%,19.67%,-,-,-,1.44%,-0.55%,0.97%,2.16%,-3.82%,5.74%,12.55%,3.12%,-1.08%,3.27%,4.08%,4.83%,4.01%,9.46%,25.35%,5.01%,20.91%,-34.04%,7.30%,-10.03%,3.47%,4.91%,4.39%,-,12.59%,5.11%,-1.45%,-19.31%,3.96%,-,-,-,-,-,-,-,10/27,24/27,26/27,25/27,25/27,24/27,24/25,15/18,0/0,0/0,,,,,,,-,92.18%,41.0,-,-,-,7.82%,-,11.646,0.67%,10-May-21,11.868,15-Feb-21,7.93,26-May-20,21.89%,31.45%,38.40%,-,-
Axis Capital Builder Fund - Series 4 - GrowthMulti Cap Fund,-,1208.25,1.12%,0.63%,1.76%,17.92%,6.86%,55.66%,18.71%,-,-,-,1.40%,-0.56%,0.92%,2.13%,-3.89%,5.69%,12.51%,3.00%,-1.19%,3.22%,4.15%,4.79%,4.09%,9.65%,25.57%,5.20%,21.20%,-33.90%,7.42%,-9.81%,3.80%,5.43%,4.86%,-,12.90%,5.56%,-0.77%,-18.13%,4.14%,-,-,-,-,-,-,-,24/28,23/28,20/28,27/28,27/28,24/28,15/26,0/0,0/0,0/0,,,,,,,-,92.18%,41.0,-,-,-,7.82%,-,14.695,0.48%,10-May-21,14.695,10-May-21,10.305,15-Jun-20,21.44%,30.52%,36.77%,-,-
Kotak India Growth Fund - Series VII - Direct Plan - GrowthMulti Cap Fund,-,41.2,1.10%,-1.00%,-1.95%,15.06%,6.68%,30.27%,14.81%,-,-,-,2.18%,-0.40%,-1.64%,3.84%,-2.11%,5.93%,12.12%,-0.54%,-0.88%,4.99%,2.42%,5.27%,3.60%,10.64%,20.50%,8.70%,19.04%,-27.35%,5.12%,-0.31%,1.93%,5.15%,-1.69%,-4.79%,15.68%,3.52%,4.56%,3.94%,-,-,-,-,-,-,-,-,11/28,25/28,27/28,26/28,25/28,25/28,25/26,16/19,0/0,0/0,,,,,,,-,88.54%,39.0,2.23%,3,-,9.20%,-,14.03,0.5%,10-May-21,14.12,10-Mar-21,8.64,18-May-20,20.18%,19.30%,18.29%,-,-
Kotak India Growth Fund - Series VII - GrowthMulti Cap Fund,-,41.2,1.08%,-1.09%,-2.20%,14.45%,6.27%,28.87%,13.57%,-,-,-,2.19%,-0.36%,-1.59%,3.88%,-2.07%,5.98%,12.17%,-0.50%,-0.84%,5.04%,2.46%,5.31%,3.64%,10.77%,20.72%,8.90%,19.27%,-27.26%,5.32%,-0.58%,2.11%,5.38%,-1.46%,-4.55%,15.97%,4.38%,5.13%,4.44%,-,-,-,-,-,-,-,-,11/28,25/28,27/28,26/28,25/28,25/28,25/26,16/19,0/0,0/0,,,,,,,-,88.54%,39.0,2.23%,3,-,9.20%,-,11.532,0.6%,10-May-21,11.718,15-Feb-21,8.341,19-May-20,20.03%,18.98%,17.59%,-,-
Axis Capital Builder Fund - Series 1 - Direct Plan - GrowthMulti Cap Fund,-,612.0,0.83%,1.40%,2.91%,19.64%,7.81%,58.42%,20.27%,12.39%,-,-,2.17%,-0.41%,-1.64%,3.85%,-2.12%,5.95%,12.12%,-0.55%,-0.89%,4.96%,2.41%,5.28%,1.76%,5.67%,19.22%,7.42%,23.24%,-25.66%,9.22%,2.27%,0.11%,4.52%,2.06%,-5.76%,15.71%,12.12%,11.11%,-14.07%,54.49%,4.42%,4.21%,-,-,-,-,-,20/27,20/27,25/27,23/27,23/27,25/27,25/25,14/18,0/0,0/0,,,,,,,-,88.34%,34.0,-,-,-,4.70%,-,14.301,0.48%,10-May-21,14.301,10-May-21,10.087,15-Jun-20,19.73%,12.56%,10.92%,-,-
Axis Capital Builder Fund - Series 1 - GrowthMulti Cap Fund,-,612.0,0.79%,1.30%,2.63%,19.10%,7.43%,57.25%,19.32%,11.27%,-,-,2.19%,-0.37%,-1.59%,3.90%,-2.08%,6.00%,12.17%,-0.50%,-0.84%,5.01%,2.46%,5.32%,1.82%,5.82%,19.39%,7.58%,23.41%,-25.56%,9.37%,2.41%,0.25%,4.67%,2.21%,-5.61%,15.90%,12.89%,11.98%,-13.24%,56.45%,5.99%,4.50%,-,-,-,-,-,21/28,21/28,26/28,24/28,24/28,26/28,26/26,15/19,0/0,0/0,,,,,,,-,88.34%,34.0,-,-,-,4.70%,-,11.097,0.6%,10-May-21,11.298,15-Feb-21,8.067,19-May-20,19.61%,12.23%,10.13%,-,-
Kotak India Growth Fund - Series V - Direct Plan - GrowthMulti Cap Fund,-,544.46,0.53%,-0.32%,2.95%,27.46%,11.93%,83.93%,26.17%,-,-,-,1.94%,-0.66%,-0.68%,6.15%,-2.34%,4.65%,11.31%,0.48%,-0.75%,3.28%,6.10%,5.17%,1.75%,5.69%,19.23%,7.38%,23.24%,-25.65%,9.20%,2.34%,0.02%,5.20%,1.98%,-,8.57%,16.22%,17.20%,-3.85%,-,-,-,-,-,-,-,-,9/27,9/27,12/27,19/27,18/27,26/27,7/25,5/18,0/0,0/0,,,,,,,-,87.95%,38.0,10.50%,3,-,1.49%,-,13.253,0.42%,10-May-21,13.734,03-Mar-21,9.87,19-May-20,19.36%,17.37%,16.76%,-,-
Kotak India Growth Fund - Series V - GrowthMulti Cap Fund,-,544.46,0.53%,-0.33%,2.91%,27.36%,11.85%,83.59%,25.93%,-,-,-,1.99%,-0.53%,-0.59%,6.25%,-2.23%,4.82%,11.49%,0.64%,-0.59%,3.45%,6.28%,5.34%,1.81%,5.83%,19.40%,7.54%,23.41%,-25.55%,9.35%,2.48%,0.16%,5.40%,2.19%,-,8.79%,16.88%,17.87%,-3.54%,-,-,-,-,-,-,-,-,10/28,9/28,13/28,19/28,19/28,27/28,7/26,5/19,0/0,0/0,,,,,,,-,87.95%,38.0,10.50%,3,-,1.49%,-,12.874,0.42%,10-May-21,13.373,15-Feb-21,9.69,19-May-20,18.94%,16.77%,15.78%,-,-
Edelweiss Maiden Opportunities Fund - Series I - Direct Plan - GrowthMulti Cap Fund,-,513.58,-0.92%,-1.69%,4.45%,31.80%,14.64%,71.02%,32.06%,15.05%,-,-,1.95%,0.49%,-1.04%,6.53%,-2.52%,5.72%,13.13%,1.30%,-1.63%,3.35%,6.66%,3.23%,1.26%,8.72%,18.16%,9.53%,21.90%,-28.76%,5.32%,-,-,-,-,-,8.57%,16.20%,17.72%,-4.49%,-,-,-,-,-,-,-,-,24/27,26/27,27/27,27/27,27/27,27/27,18/25,0/0,0/0,0/0,,,,,,,-,85.12%,40.0,-,-,1.85%,13.03%,-,14.8,0.2%,10-May-21,14.85,03-Mar-21,8.98,18-May-20,13.76%,20.00%,-,-,-
Edelweiss Maiden Opportunities Fund - Series I - GrowthMulti Cap Fund,-,513.58,-0.92%,-1.71%,4.42%,31.71%,14.59%,70.75%,31.81%,14.58%,-,-,1.97%,0.55%,-0.96%,6.59%,-2.45%,5.80%,13.21%,1.36%,-1.57%,3.41%,6.72%,3.27%,1.44%,9.10%,18.75%,10.07%,22.51%,-28.43%,5.92%,-,-,-,-,-,8.79%,16.85%,18.45%,-4.15%,-,-,-,-,-,-,-,-,25/28,27/28,28/28,28/28,28/28,28/28,19/26,0/0,0/0,0/0,,,,,,,-,85.12%,40.0,-,-,1.85%,13.03%,-,14.48,0.21%,10-May-21,14.55,03-Mar-21,8.86,18-May-20,13.07%,18.61%,-,-,-
Aditya Birla Sun Life Multi Cap Fund - Regular Plan - GrowthMulti Cap Fund,-,0.0,-,-,-,-,-,-,-,-,-,-,7.44%,6.68%,3.61%,5.83%,-1.60%,9.35%,6.66%,0.15%,3.56%,4.13%,11.99%,8.04%,,,,,,,,,,,,,11.41%,11.25%,8.84%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,10.12,-,10-May-21,10.12,10-May-21,10.12,10-May-21,,,,,
Aditya Birla Sun Life Multi Cap Fund - Direct Plan - GrowthMulti Cap Fund,-,0.0,-,-,-,-,-,-,-,-,-,-,7.47%,6.83%,3.80%,5.97%,-1.45%,9.56%,6.82%,0.29%,3.72%,4.37%,12.07%,8.05%,,,,,,,,,,,,,11.99%,13.47%,9.60%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,10.12,-,10-May-21,10.12,10-May-21,10.12,10-May-21,,,,,
